AWS_AccountID,AWS_Region,AWS_Partition,AWS_Service,AWS_ResourceType,AWS_ResourceID,AWS_ResourceARN,AWS_Tags
211203495394,eu-west-1,aws,ec2,vpc-endpoint,vpce-06504f7f439392149,arn:aws:ec2:eu-west-1:211203495394:vpc-endpoint/vpce-06504f7f439392149,"[{'Key': 'Project', 'Value': 'Secret'}, {'Key': 'Endpoint', 'Value': 'true'}, {'Key': 'GithubRepo', 'Value': 'terraform-aws-vpc'}, {'Key': 'Example', 'Value': 'ex-vpc'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ecr_api'}]"
211203495394,eu-west-1,aws,ec2,vpc-endpoint,vpce-068c0f42353923d5b,arn:aws:ec2:eu-west-1:211203495394:vpc-endpoint/vpce-068c0f42353923d5b,"[{'Key': 'Project', 'Value': 'Secret'}, {'Key': 'Endpoint', 'Value': 'true'}, {'Key': 'GithubRepo', 'Value': 'terraform-aws-vpc'}, {'Key': 'Example', 'Value': 'ex-vpc'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 's3-vpc-endpoint'}]"
211203495394,eu-west-1,aws,ec2,vpc-endpoint,vpce-06bc6ec03400189ea,arn:aws:ec2:eu-west-1:211203495394:vpc-endpoint/vpce-06bc6ec03400189ea,"[{'Key': 'Project', 'Value': 'Secret'}, {'Key': 'Endpoint', 'Value': 'true'}, {'Key': 'GithubRepo', 'Value': 'terraform-aws-vpc'}, {'Key': 'Example', 'Value': 'ex-vpc'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ecr_dkr'}]"
211203495394,eu-west-1,aws,ec2,vpc-endpoint,vpce-0825ac47c228736d8,arn:aws:ec2:eu-west-1:211203495394:vpc-endpoint/vpce-0825ac47c228736d8,"[{'Key': 'Project', 'Value': 'Secret'}, {'Key': 'Endpoint', 'Value': 'true'}, {'Key': 'GithubRepo', 'Value': 'terraform-aws-vpc'}, {'Key': 'Example', 'Value': 'ex-vpc'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'dynamodb-vpc-endpoint'}]"
211203495394,eu-west-1,aws,ec2,vpc-endpoint,vpce-0bb821a6b2b1bbfe5,arn:aws:ec2:eu-west-1:211203495394:vpc-endpoint/vpce-0bb821a6b2b1bbfe5,"[{'Key': 'Project', 'Value': 'Secret'}, {'Key': 'Endpoint', 'Value': 'true'}, {'Key': 'GithubRepo', 'Value': 'terraform-aws-vpc'}, {'Key': 'Example', 'Value': 'ex-vpc'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'rds'}]"
211203495394,eu-west-1,aws,ec2,vpc-endpoint,vpce-0e3293e74c9d503ff,arn:aws:ec2:eu-west-1:211203495394:vpc-endpoint/vpce-0e3293e74c9d503ff,"[{'Key': 'Project', 'Value': 'Secret'}, {'Key': 'Endpoint', 'Value': 'true'}, {'Key': 'GithubRepo', 'Value': 'terraform-aws-vpc'}, {'Key': 'Example', 'Value': 'ex-vpc'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ecs'}]"
211203495394,eu-west-1,aws,ec2,vpc,vpc-04e2fdb8ad8aab4ae,arn:aws:ec2:eu-west-1:211203495394:vpc/vpc-04e2fdb8ad8aab4ae,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds'}]"
211203495394,eu-west-1,aws,ec2,vpn-gateway,vgw-01ccba365c30165f6,arn:aws:ec2:eu-west-1:211203495394:vpn-gateway/vgw-01ccba365c30165f6,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-vpc'}, {'Key': 'Example', 'Value': 'ex-vpc'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-vpc'}]"
211203495394,,aws,iam,role,TerraformRole,arn:aws:iam::211203495394:role/TerraformRole,
211203495394,,aws,iam,role,terraform-20251007083732228400000003,arn:aws:iam::211203495394:role/terraform-20251007083732228400000003,
211203495394,,aws,iam,role,terraform-20251012141410470900000001,arn:aws:iam::211203495394:role/terraform-20251012141410470900000001,
211203495394,,aws,iam,user,terraform-user,arn:aws:iam::211203495394:user/terraform-user,
211203495394,eu-west-1,aws,kms,key,26bc274f-97b7-4bf6-b491-771531ec96de,arn:aws:kms:eu-west-1:211203495394:key/26bc274f-97b7-4bf6-b491-771531ec96de,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}]"
